3, 3, 0.519
3, 9, 0.628
3, 31, 0.5
3, 51, 0.76
3, 68, 0.512
3, 91, 0.669
3, 135, 0.731
3, 142, 0.407
3, 143, 0.397
3, 146, 0.195
3, 160, 0.581
3, 181, 0.683
3, 195, 0.737
3, 196, 0.652
3, 197, 0.62
3, 207, 0.615
3, 208, 0.456
3, 232, 0.588
3, 233, 0.547
3, 235, 0.995
3, 264, 0.7
3, 277, 0.475
3, 282, 0.641
3, 323, 0.535
3, 324, 0.43
3, 330, 0.44
3, 350, 0.661
3, 354, 0.541
3, 362, 0.609
3, 379, 0.382
3, 407, 0.581
3, 430, 0.369
3, 437, 0.415
3, 452, 0.341
3, 460, 0.476
3, 464, 0.473
3, 479, 0.602
3, 488, 0.551
3, 492, 0.52
3, 526, 0.527
3, 589, 0.13
3, 596, 0.638
3, 632, 0.209
3, 648, 0.451
3, 652, 0.457
3, 671, 0.76
3, 675, 0.509
3, 680, 0.338
3, 691, 0.404
3, 695, 0.686
3, 697, 0.381
3, 706, 0.328
3, 718, 0.349
3, 719, 0.611
3, 720, 0.374
3, 724, 0.326
3, 752, 0.678
3, 758, 0.421
3, 760, 0.37
3, 763, 0.625
3, 764, 0.875
3, 768, 0.407
3, 779, 0.692
3, 781, 0.308
3, 784, 0.328
9, 3, 0.378
9, 9, 0.526
9, 31, 0.663
9, 51, 0.844
9, 68, 0.498
9, 91, 0.693
9, 135, 0.619
9, 142, 0.708
9, 143, 0.454
9, 146, 0.548
9, 160, 0.45
9, 181, 0.527
9, 195, 0.681
9, 196, 0.694
9, 197, 0.673
9, 207, 0.792
9, 208, 0.645
9, 232, 0.63
9, 233, 0.553
9, 235, 0.999
9, 264, 0.754
9, 277, 0.729
9, 282, 0.61
9, 323, 0.766
9, 324, 0.712
9, 330, 0.569
9, 350, 0.609
9, 354, 0.579
9, 362, 0.819
9, 379, 0.471
9, 407, 0.444
9, 430, 0.628
9, 437, 0.56
9, 452, 0.526
9, 460, 0.536
9, 464, 0.593
9, 479, 0.474
9, 488, 0.511
9, 492, 0.37
9, 526, 0.544
9, 589, 0.317
9, 596, 0.525
9, 632, 0.457
9, 648, 0.437
9, 652, 0.327
9, 671, 0.528
9, 675, 0.524
9, 680, 0.465
9, 691, 0.494
9, 695, 0.549
9, 697, 0.492
9, 706, 0.402
9, 718, 0.339
9, 719, 0.609
9, 720, 0.378
9, 724, 0.221
9, 752, 0.629
9, 758, 0.785
9, 760, 0.367
9, 763, 0.439
9, 764, 0.719
9, 768, 0.321
9, 779, 0.67
9, 781, 0.276
9, 784, 0.354
31, 3, 0.52
31, 9, 0.348
31, 31, 0.503
31, 51, 0.701
31, 68, 0.513
31, 91, 0.51
31, 135, 0.808
31, 142, 0.508
31, 143, 0.432
31, 146, 0.393
31, 160, 0.339
31, 181, 0.746
31, 195, 0.438
31, 196, 0.619
31, 197, 0.63
31, 207, 0.652
31, 208, 0.469
31, 232, 0.504
31, 233, 0.563
31, 235, 0.996
31, 264, 0.72
31, 277, 0.7
